=== Master.txt (Master Node Log) ===
============================================================
Master Node | Distributed KV Store
============================================================

[115.30] MASTER | DISTRIB | INFO | KV[0101] -> 워커2 배정, 대기열=3/10, 일반
[116.30] MASTER | DISTRIB | INFO | KV[0102] -> 워커2 배정, 대기열=4/10, 일반
[117.30] MASTER | DISTRIB | INFO | KV[0103] -> 워커2 배정, 대기열=5/10, 일반
[118.30] MASTER | DISTRIB | INFO | KV[0104] -> 워커2 배정, 대기열=6/10, 일반
[119.30] MASTER | DISTRIB | INFO | KV[0105] -> 워커2 배정, 대기열=7/10, 일반
[120.30] MASTER | DISTRIB | INFO | KV[0106] -> 워커2 배정, 대기열=8/10, 일반
[121.30] MASTER | DISTRIB | INFO | KV[0107] -> 워커2 배정, 대기열=9/10, 일반
[122.30] MASTER | DISTRIB | INFO | KV[0108] -> 워커2 배정, 대기열=10/10, 일반
[123.30] MASTER | DISTRIB | INFO | KV[0109] -> 워커2 배정, 대기열=1/10, 일반
[124.30] MASTER | DISTRIB | INFO | KV[0110] -> 워커2 배정, 대기열=2/10, 일반
[125.30] MASTER | DISTRIB | INFO | KV[0111] -> 워커2 배정, 대기열=3/10, 일반
[126.30] MASTER | DISTRIB | INFO | KV[0112] -> 워커2 배정, 대기열=4/10, 일반
[127.30] MASTER | DISTRIB | INFO | KV[0113] -> 워커2 배정, 대기열=5/10, 일반
[128.30] MASTER | DISTRIB | INFO | KV[0114] -> 워커2 배정, 대기열=6/10, 일반
[129.30] MASTER | DISTRIB | INFO | KV[0115] -> 워커2 배정, 대기열=7/10, 일반
[130.30] MASTER | DISTRIB | INFO | KV[0116] -> 워커2 배정, 대기열=8/10, 일반
[131.30] MASTER | DISTRIB | INFO | KV[0117] -> 워커2 배정, 대기열=9/10, 일반
[132.30] MASTER | DISTRIB | INFO | KV[0118] -> 워커2 배정, 대기열=10/10, 일반
[133.30] MASTER | DISTRIB | INFO | KV[0119] -> 워커2 배정, 대기열=2/10, 일반
[134.30] MASTER | DISTRIB | INFO | KV[0120] -> 워커2 배정, 대기열=3/10, 일반
[135.30] MASTER | DISTRIB | INFO | KV[0121] -> 워커2 배정, 대기열=4/10, 일반
[136.30] MASTER | DISTRIB | INFO | KV[0122] -> 워커2 배정, 대기열=5/10, 일반
[137.30] MASTER | DISTRIB | INFO | KV[0123] -> 워커2 배정, 대기열=6/10, 일반
[138.30] MASTER | DISTRIB | INFO | KV[0124] -> 워커2 배정, 대기열=7/10, 일반
[139.30] MASTER | DISTRIB | INFO | KV[0125] -> 워커2 배정, 대기열=8/10, 일반
[140.30] MASTER | DISTRIB | INFO | KV[0126] -> 워커2 배정, 대기열=9/10, 일반
[141.30] MASTER | DISTRIB | INFO | KV[0127] -> 워커2 배정, 대기열=10/10, 일반
[144.04] MASTER | RESULT | SUCCESS | KV[0010] 워커2 저장 완료, 값=30, 처리=1.74초
[145.04] MASTER | DISTRIB | INFO | KV[0128] -> 워커2 배정, 대기열=1/10, 일반
[146.04] MASTER | DISTRIB | INFO | KV[0129] -> 워커2 배정, 대기열=2/10, 일반
[147.04] MASTER | DISTRIB | INFO | KV[0130] -> 워커2 배정, 대기열=3/10, 일반
[148.04] MASTER | DISTRIB | INFO | KV[0131] -> 워커2 배정, 대기열=4/10, 일반
[149.04] MASTER | DISTRIB | INFO | KV[0132] -> 워커2 배정, 대기열=5/10, 일반
[150.04] MASTER | DISTRIB | INFO | KV[0133] -> 워커2 배정, 대기열=6/10, 일반
[151.04] MASTER | DISTRIB | INFO | KV[0134] -> 워커2 배정, 대기열=7/10, 일반
[152.04] MASTER | DISTRIB | INFO | KV[0135] -> 워커2 배정, 대기열=8/10, 일반
[153.04] MASTER | DISTRIB | INFO | KV[0136] -> 워커2 배정, 대기열=9/10, 일반
[154.04] MASTER | DISTRIB | INFO | KV[0137] -> 워커2 배정, 대기열=10/10, 일반
[155.04] MASTER | DISTRIB | INFO | KV[0138] -> 워커2 배정, 대기열=1/10, 일반
[156.04] MASTER | DISTRIB | INFO | KV[0139] -> 워커2 배정, 대기열=2/10, 일반
[157.04] MASTER | DISTRIB | INFO | KV[0140] -> 워커2 배정, 대기열=3/10, 일반
[158.04] MASTER | DISTRIB | INFO | KV[0141] -> 워커2 배정, 대기열=4/10, 일반
[159.04] MASTER | DISTRIB | INFO | KV[0142] -> 워커2 배정, 대기열=5/10, 일반
[160.04] MASTER | DISTRIB | INFO | KV[0143] -> 워커2 배정, 대기열=6/10, 일반
[161.04] MASTER | DISTRIB | INFO | KV[0144] -> 워커2 배정, 대기열=7/10, 일반
[162.04] MASTER | DISTRIB | INFO | KV[0145] -> 워커2 배정, 대기열=8/10, 일반
[163.04] MASTER | DISTRIB | INFO | KV[0146] -> 워커2 배정, 대기열=9/10, 일반
[164.04] MASTER | DISTRIB | INFO | KV[0147] -> 워커2 배정, 대기열=10/10, 일반
[165.04] MASTER | DISTRIB | INFO | KV[0148] -> 워커2 배정, 대기열=2/10, 일반
[166.04] MASTER | DISTRIB | INFO | KV[0149] -> 워커2 배정, 대기열=3/10, 일반
[167.04] MASTER | DISTRIB | INFO | KV[0150] -> 워커2 배정, 대기열=4/10, 일반
[168.04] MASTER | DISTRIB | INFO | KV[0151] -> 워커2 배정, 대기열=5/10, 일반
[169.04] MASTER | DISTRIB | INFO | KV[0152] -> 워커2 배정, 대기열=6/10, 일반
[170.04] MASTER | DISTRIB | INFO | KV[0153] -> 워커2 배정, 대기열=7/10, 일반
[171.04] MASTER | DISTRIB | INFO | KV[0154] -> 워커2 배정, 대기열=8/10, 일반
[172.04] MASTER | DISTRIB | INFO | KV[0155] -> 워커2 배정, 대기열=9/10, 일반
[173.04] MASTER | DISTRIB | INFO | KV[0156] -> 워커2 배정, 대기열=10/10, 일반
[176.98] MASTER | RESULT | SUCCESS | KV[0015] 워커2 저장 완료, 값=43, 처리=2.94초
[177.98] MASTER | DISTRIB | INFO | KV[0157] -> 워커2 배정, 대기열=1/10, 일반
[178.98] MASTER | DISTRIB | INFO | KV[0158] -> 워커2 배정, 대기열=2/10, 일반
[179.98] MASTER | DISTRIB | INFO | KV[0159] -> 워커2 배정, 대기열=3/10, 일반
[180.98] MASTER | DISTRIB | INFO | KV[0160] -> 워커2 배정, 대기열=4/10, 일반
[181.98] MASTER | DISTRIB | INFO | KV[0161] -> 워커2 배정, 대기열=5/10, 일반
[182.98] MASTER | DISTRIB | INFO | KV[0162] -> 워커2 배정, 대기열=6/10, 일반
[183.98] MASTER | DISTRIB | INFO | KV[0163] -> 워커2 배정, 대기열=7/10, 일반
[184.98] MASTER | DISTRIB | INFO | KV[0164] -> 워커2 배정, 대기열=8/10, 일반
[185.98] MASTER | DISTRIB | INFO | KV[0165] -> 워커2 배정, 대기열=9/10, 일반
[186.98] MASTER | DISTRIB | INFO | KV[0166] -> 워커2 배정, 대기열=10/10, 일반
[187.98] MASTER | DISTRIB | INFO | KV[0167] -> 워커2 배정, 대기열=1/10, 일반
[188.98] MASTER | DISTRIB | INFO | KV[0168] -> 워커2 배정, 대기열=2/10, 일반
[189.98] MASTER | DISTRIB | INFO | KV[0169] -> 워커2 배정, 대기열=3/10, 일반
[190.98] MASTER | DISTRIB | INFO | KV[0170] -> 워커2 배정, 대기열=4/10, 일반
[191.98] MASTER | DISTRIB | INFO | KV[0171] -> 워커2 배정, 대기열=5/10, 일반
[192.98] MASTER | DISTRIB | INFO | KV[0172] -> 워커2 배정, 대기열=6/10, 일반
[193.98] MASTER | DISTRIB | INFO | KV[0173] -> 워커2 배정, 대기열=7/10, 일반
[194.98] MASTER | DISTRIB | INFO | KV[0174] -> 워커2 배정, 대기열=8/10, 일반
[195.98] MASTER | DISTRIB | INFO | KV[0175] -> 워커2 배정, 대기열=9/10, 일반
[196.98] MASTER | DISTRIB | INFO | KV[0176] -> 워커2 배정, 대기열=10/10, 일반
[197.98] MASTER | DISTRIB | INFO | KV[0177] -> 워커2 배정, 대기열=2/10, 일반
[198.98] MASTER | DISTRIB | INFO | KV[0178] -> 워커2 배정, 대기열=3/10, 일반
[199.98] MASTER | DISTRIB | INFO | KV[0179] -> 워커2 배정, 대기열=4/10, 일반
[200.98] MASTER | DISTRIB | INFO | KV[0180] -> 워커2 배정, 대기열=5/10, 일반
